Wall time,Step,Value
1729790341.093794,49,5.752833366394043
1729790346.6525784,99,5.638729095458984
1729790353.4991767,149,5.609902858734131
1729790360.028509,199,5.533326148986816
1729790366.5270498,249,5.479403018951416
1729790373.327946,299,5.3544487953186035
1729790379.8617866,349,5.262280464172363
1729790386.4677892,399,5.0621819496154785
1729790393.1601174,449,4.988131046295166
1729790399.6065211,499,4.814985275268555
1729790406.0455346,549,4.8347978591918945
1729790412.7820895,599,4.6584038734436035
1729790419.234608,649,4.5299763679504395
1729790425.671019,699,4.574555397033691
1729790432.4299433,749,4.407826900482178
1729790438.8843136,799,4.462140083312988
1729790445.5749972,849,4.346827507019043
1729790452.256747,899,4.255599021911621
1729790458.6597643,949,4.219690799713135
1729790465.0617373,999,4.232522487640381
1729790471.7168922,1049,4.162194728851318
1729790478.1444752,1099,4.1636857986450195
1729790484.5208964,1149,4.077054023742676
1729790491.1899061,1199,4.1069769859313965
1729790497.5775237,1249,4.102710723876953
1729790503.9838948,1299,4.101818561553955
1729790510.6277437,1349,3.9904987812042236
1729790517.0078986,1399,4.037855625152588
1729790523.417392,1449,3.9549078941345215
1729790530.0794995,1499,3.960164785385132
1729790601.6695228,1549,3.866694211959839
1729790606.5204442,1599,3.9178128242492676
1729790613.6574996,1649,3.8581244945526123
1729790620.2655241,1699,3.918649196624756
1729790626.8150268,1749,3.8535332679748535
1729790633.9342713,1799,3.840489387512207
1729790640.478712,1849,3.8463497161865234
1729790646.9941316,1899,3.7656030654907227
1729790653.709532,1949,3.82077693939209
1729790660.1567554,1999,3.835688352584839
1729790666.6008515,2049,3.71484637260437
1729790673.2777653,2099,3.746643304824829
1729790679.690664,2149,3.7569172382354736
1729790686.0797865,2199,3.7779757976531982
1729790692.7546391,2249,3.78617262840271
1729790699.1715674,2299,3.8086352348327637
1729790705.589113,2349,3.748140573501587
1729790712.2450082,2399,3.6813859939575195
1729790718.6377265,2449,3.755582809448242
1729790725.019712,2499,3.7542996406555176
1729790731.6856308,2549,3.7436656951904297
1729790738.0883837,2599,3.6737828254699707
1729790744.479883,2649,3.7288198471069336
1729790751.4352427,2699,3.7742788791656494
1729790757.8293507,2749,3.701629400253296
1729790764.2635453,2799,3.6907315254211426
1729790771.3197937,2849,3.6193058490753174
1729790777.9243171,2899,3.6134305000305176
1729790784.3870273,2949,3.649853467941284
1729790791.1246681,2999,3.6353328227996826
1729790862.0078585,3049,3.59993314743042
1729790867.01299,3099,3.5845367908477783
1729790873.2984834,3149,3.579198122024536
1729790879.8499577,3199,3.658137083053589
1729790886.31829,3249,3.5896596908569336
1729790893.0826056,3299,3.550621509552002
1729790899.5438504,3349,3.599587917327881
1729790905.969617,3399,3.593784809112549
1729790912.3392568,3449,3.5487382411956787
1729790919.087782,3499,3.5527031421661377
1729790925.4921534,3549,3.548787832260132
1729790932.2258763,3599,3.4942429065704346
1729790938.6544056,3649,3.5515921115875244
1729790945.339421,3699,3.6179604530334473
1729790951.7777803,3749,3.585184097290039
1729790958.4153948,3799,3.5819499492645264
1729790964.8038888,3849,3.5237674713134766
1729790971.19081,3899,3.5570902824401855
1729790977.9240994,3949,3.5260512828826904
1729790984.3059418,3999,3.559793472290039
1729790990.6735373,4049,3.5131702423095703
1729790997.5068839,4099,3.503833532333374
1729791003.8589802,4149,3.504725456237793
1729791010.4555168,4199,3.518301486968994
1729791016.801081,4249,3.488523006439209
1729791023.1528082,4299,3.6269330978393555
1729791029.7561293,4349,3.513117551803589
1729791036.1424294,4399,3.498412847518921
1729791042.5598998,4449,3.5331714153289795
1729791048.8909616,4499,3.5004546642303467
1729791055.7696912,4549,3.503387928009033
1729791126.0586703,4599,3.4455971717834473
1729791131.370897,4649,3.451869249343872
1729791138.2298305,4699,3.5357351303100586
1729791144.7264462,4749,3.507781744003296
1729791151.1853292,4799,3.4108073711395264
1729791157.9098847,4849,3.4939661026000977
1729791164.3365738,4899,3.466965675354004
1729791170.7755182,4949,3.455937147140503
1729791177.5388687,4999,3.409095287322998
1729791184.057971,5049,3.414771556854248
1729791190.462005,5099,3.490187168121338
1729791197.135048,5149,3.436567544937134
1729791203.5983458,5199,3.4505221843719482
1729791209.9898627,5249,3.4126405715942383
1729791216.6350522,5299,3.4886109828948975
1729791223.1333265,5349,3.477478504180908
1729791229.5978434,5399,3.4473016262054443
1729791236.2719395,5449,3.4608047008514404
1729791242.8891466,5499,3.4527413845062256
